Format Rank,Site Name,State,Site Type,Service Description,Unique Service Line,Service Type,Waste Stream,Bin Size,Cleanaway,Veolia,Remondis,Current,Incumbant
35,The Heritage,NSW,RV,10 x 240L General Waste - 1 x Weekly,The Heritage - 10 x 240L General Waste - 1 x Weekly,Rear Lift,General Waste,240,"$3,659.76","$4,126.20","$4,380.95","$4,972.97 ",Veolia
36,The Heritage,NSW,RV,12 x 240L Green Waste - Fortnightly,The Heritage - 12 x 240L Green Waste - Fortnightly,Rear Lift,Green Waste,240,"$3,679.36","$3,137.03","$3,541.12","$2,781.85 ",Veolia
37,Elderslee Village,NSW,RV,2 x 1.5m3 General Waste - 2 x Weekly,Elderslee Village - 2 x 1.5m3 General Waste - 2 x Weekly,Front Lift,General Waste,1.5,"$12,916.80","$10,965.76","$11,789.44","$10,649.60 ",Veolia
38,Victoria Grange Community Centre,VIC,RV,5 x 22L Sanitary Waste - Every 4 Weeks,Victoria Grange Community Centre - 5 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$487.50,$677.95,$364.65,$740.35,Veolia
39,Victoria Grange Retirement Village,VIC,RV,1 x 2000L Grease Trap - Every 13 Weeks,Victoria Grange Retirement Village - 1 x 2000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,2000,"$1,679.50","$1,679.50","$1,679.50","$2,003.32 ",Veolia
40,Victoria Grange Aged Care,VIC,AC,4 x 1100L General Waste - 3 x Weekly,Victoria Grange Aged Care - 4 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$15,561.00","$15,719.34","$16,598.40","$21,119.28 ",Veolia
41,Victoria Grange Aged Care,VIC,AC,8 x 240L Clinical Waste - 1 x Weekly,Victoria Grange Aged Care - 8 x 240L Clinical Waste - 1 x Weekly,Medical,Clinical Waste,240,"$5,382.94","$5,616.00","$4,259.74","$5,892.12 ",Veolia
42,Victoria Grange Aged Care,VIC,AC,1 x 240L Cytotoxic Waste - On-Call,Victoria Grange Aged Care - 1 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,$0.00,$0.00,$60.00,$0.00,Veolia
43,Victoria Grange Aged Care,VIC,AC,4 x 660L Paper & Cardboard - 1 x Weekly,Victoria Grange Aged Care - 4 x 660L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,660,"$1,924.00","$2,481.96","$1,677.73","$2,083.69 ",Veolia
44,Victoria Grange Aged Care,VIC,AC,1 x 1100L Paper & Cardboard - 1 x Weekly,Victoria Grange Aged Care - 1 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,$650.00,$722.80,$704.08,"$1,359.80 ",Veolia
45,Victoria Grange Aged Care,VIC,AC,2 x 1100L Comingle - 1 x Weekly,Victoria Grange Aged Care - 2 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,$962.00,"$1,424.80","$1,152.32","$1,307.28 ",Veolia
46,Victoria Grange Aged Care,VIC,AC,1 x 660L Comingle - 1 x Weekly,Victoria Grange Aged Care - 1 x 660L Comingle - 1 x Weekly,Rear Lift,Comingle,660,$702.00,"$1,248.00","$1,010.88",$585.00,Veolia
47,Victoria Grange Aged Care,VIC,AC,2 x 240L Confidential Waste - On-Call,Victoria Grange Aged Care - 2 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$0.00,$0.00,$0.00,$0.00,Veolia
48,Victoria Grange Aged Care,VIC,AC,24 x 1.4L Sharps Supply - Every 4 Weeks,Victoria Grange Aged Care - 24 x 1.4L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,1.4,$684.37,$454.99,$429.42,$823.49,Veolia
49,Victoria Grange Aged Care,VIC,AC,12 x 3L Sharps Supply - Every 4 Weeks,Victoria Grange Aged Care - 12 x 3L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,3,$312.81,$264.51,$150.40,$481.73,Veolia
50,Victoria Grange Aged Care,VIC,AC,2 x 8L Sharps Supply - Every 4 Weeks,Victoria Grange Aged Care - 2 x 8L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,8,$211.67,$154.79,$234.25,$213.73,Veolia
51,Victoria Grange Aged Care,VIC,AC,5 x 18L Sanitary Waste - Every 4 Weeks,Victoria Grange Aged Care - 5 x 18L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,18,$487.50,$677.95,$364.65,$740.35,Veolia
52,Victoria Grange Aged Care,VIC,AC,1 x 3000L Grease Trap - Every 13 Weeks,Victoria Grange Aged Care - 1 x 3000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,3000,"$2,519.24","$2,519.24","$2,519.24","$3,169.37 ",Veolia
53,Racecourse Grange Aged Care,VIC,AC,5 x 1100L General Waste - 3 x Weekly,Racecourse Grange Aged Care - 5 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$18,762.12","$18,953.03","$23,172.86","$25,457.23 ",Veolia
54,Racecourse Grange Aged Care,VIC,AC,3 x 1100L Paper & Cardboard - 2 x Weekly,Racecourse Grange Aged Care - 3 x 1100L Paper & Cardboard - 2 x Weekly,Rear Lift,Paper & Cardboard,1100,"$3,653.00","$4,062.14","$4,275.47","$5,041.14 ",Veolia
55,Racecourse Grange Aged Care,VIC,AC,2 x 1100L Comingle - 1 x Weekly,Racecourse Grange Aged Care - 2 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$1,924.00","$2,849.60","$2,340.00","$2,045.68 ",Veolia
56,Racecourse Grange Aged Care,VIC,AC,1 x 240L Confidential Waste - On-Call,Racecourse Grange Aged Care - 1 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$507.00,$161.54,$81.74,$140.40,Veolia
57,Racecourse Grange Aged Care,VIC,AC,4 x 240L Clinical Waste - Fortnightly,Racecourse Grange Aged Care - 4 x 240L Clinical Waste - Fortnightly,Medical,Clinical Waste,240,"$1,495.26","$1,560.00","$1,544.14","$1,539.20 ",Veolia
58,Racecourse Grange Aged Care,VIC,AC,1 x 240L Cytotoxic Waste - On-Call,Racecourse Grange Aged Care - 1 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,"$1,121.38","$1,050.40","$1,343.88",$835.90,Veolia
59,Racecourse Grange Aged Care,VIC,AC,20 x 3L Sharps Supply - Every 4 Weeks,Racecourse Grange Aged Care - 20 x 3L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,3,$378.63,$320.17,$182.04,$539.16,Veolia
60,Racecourse Grange Aged Care,VIC,AC,14 x 6L Sharps Supply - Every 4 Weeks,Racecourse Grange Aged Care - 14 x 6L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,6,$33.22,$26.94,$25.02,$40.96,Veolia
61,Racecourse Grange Aged Care,VIC,AC,14 x 22L Sanitary Waste - Fortnightly,Racecourse Grange Aged Care - 14 x 22L Sanitary Waste - Fortnightly,Sanitary,Sanitary Waste,22,"$3,003.00","$1,898.26","$1,021.02","$1,347.58 ",Veolia
62,Racecourse Grange Aged Care,VIC,AC,1 x 1200L Grease Trap - On-Call,Racecourse Grange Aged Care - 1 x 1200L Grease Trap - On-Call,Liquid,Grease Trap,1200,"$1,767.47","$1,007.70","$1,685.01","$1,917.02 ",Veolia
63,Racecourse Grange Aged Care,VIC,AC,1 x 3304L Grease Trap - Every 16 Weeks,Racecourse Grange Aged Care - 1 x 3304L Grease Trap - Every 16 Weeks,Liquid,Grease Trap,3304,"$2,619.70","$2,056.54","$2,742.06","$2,171.66 ",Veolia
64,Peninsula Grange Aged Care,VIC,AC,2 x 3m3 General Waste - 3 x Weekly,Peninsula Grange Aged Care - 2 x 3m3 General Waste - 3 x Weekly,Front Lift,General Waste,3,"$18,974.80","$16,741.79","$18,431.01","$20,828.31 ",Veolia
65,Peninsula Grange Aged Care,VIC,AC,1 x 3m3 Paper & Cardboard - 2 x Weekly,Peninsula Grange Aged Care - 1 x 3m3 Paper & Cardboard - 2 x Weekly,Front Lift,Paper & Cardboard,3,"$1,560.00","$1,872.00","$2,059.20",$436.80,Veolia
66,Peninsula Grange Aged Care,VIC,AC,1 x 1100L Comingle - 1 x Weekly,Peninsula Grange Aged Care - 1 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,$962.00,"$1,476.80","$1,170.00","$1,022.84 ",Veolia
67,Peninsula Grange Aged Care,VIC,AC,1 x 240L Confidential Waste - On-Call,Peninsula Grange Aged Care - 1 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$388.70,$123.85,$62.67,$105.43,Veolia
68,Peninsula Grange Aged Care,VIC,AC,8 x 240L Clinical Waste - Fortnightly,Peninsula Grange Aged Care - 8 x 240L Clinical Waste - Fortnightly,Medical,Clinical Waste,240,"$2,392.42","$2,496.00","$2,483.10","$2,618.72 ",Veolia
69,Peninsula Grange Aged Care,VIC,AC,1 x 240L Cytotoxic Waste - On-Call,Peninsula Grange Aged Care - 1 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,"$2,242.76","$2,100.80","$2,582.26","$1,671.80 ",Veolia
70,Peninsula Grange Aged Care,VIC,AC,17 x 1.4L Sharps Supply - Every 4 Weeks,Peninsula Grange Aged Care - 17 x 1.4L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,1.4,$54.51,$36.24,$34.21,$72.60,Veolia
71,Peninsula Grange Aged Care,VIC,AC,10 x 3L Sharps Supply - Every 4 Weeks,Peninsula Grange Aged Care - 10 x 3L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,3,$37.44,$31.66,$18.00,$53.25,Veolia
72,Peninsula Grange Aged Care,VIC,AC,7 x 26L Sanitary Waste - Every 4 Weeks,Peninsula Grange Aged Care - 7 x 26L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,26,"$1,501.50",$949.13,$510.51,"$1,385.67 ",Veolia
73,Peninsula Grange Aged Care,VIC,AC,1 x 1606L Grease Trap - Every 16 Weeks,Peninsula Grange Aged Care - 1 x 1606L Grease Trap - Every 16 Weeks,Liquid,Grease Trap,1606,"$1,562.80",$999.64,"$1,332.85","$1,119.12 ",Veolia
74,Peninsula Grange Aged Care,VIC,AC,1 x 4056L Grease Trap - Every 16 Weeks,Peninsula Grange Aged Care - 1 x 4056L Grease Trap - Every 16 Weeks,Liquid,Grease Trap,4056,"$3,087.78","$2,524.62","$3,366.16","$3,207.05 ",Veolia
75,Peninsula Grange Retirement Village,VIC,RV,19 x 1100L General Waste - 1 x Weekly,Peninsula Grange Retirement Village - 19 x 1100L General Waste - 1 x Weekly,Rear Lift,General Waste,1100,"$20,748.00","$22,495.84","$26,208.00","$40,957.28 ",Cleanaway
76,Peninsula Grange Retirement Village,VIC,RV,19 x 1100L Comingle - 1 x Weekly,Peninsula Grange Retirement Village - 19 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$9,620.00","$10,168.72","$11,700.00","$34,517.60 ",Cleanaway
77,Campbell Place Retirement Communities,VIC,RV,5 x 660L General Waste - 1 x Weekly,Campbell Place Retirement Communities - 5 x 660L General Waste - 1 x Weekly,Rear Lift,General Waste,660,"$3,341.52","$3,627.94","$3,870.15","$4,068.17 ",Veolia
78,Campbell Place Retirement Communities,VIC,RV,4 x 660L Comingle - 1 x Weekly,Campbell Place Retirement Communities - 4 x 660L Comingle - 1 x Weekly,Rear Lift,Comingle,660,"$2,232.36","$2,976.48","$2,450.64","$1,890.06 ",Veolia
79,Campbell Place Retirement Communities,VIC,RV,3 x 22L Sanitary Waste - Every 4 Weeks,Campbell Place Retirement Communities - 3 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$292.50,$406.77,$218.79,$206.05,Veolia
80,Campbell Place Aged Care,VIC,AC,5 x 1100L General Waste - 3 x Weekly,Campbell Place Aged Care - 5 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$13,515.84","$13,653.37","$14,288.85","$16,128.90 ",Veolia
81,Campbell Place Aged Care,VIC,AC,6 x 1100L Comingle - 1 x Weekly,Campbell Place Aged Care - 6 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$4,473.30","$4,739.28","$4,050.15","$3,286.06 ",Veolia
82,Campbell Place Aged Care,VIC,AC,2 x 240L Confidential Waste - On-Call,Campbell Place Aged Care - 2 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$453.96,$323.08,$163.49,$588.59,Veolia
83,Campbell Place Aged Care,VIC,AC,13 x 240L Clinical Waste - Fortnightly,Campbell Place Aged Care - 13 x 240L Clinical Waste - Fortnightly,Medical,Clinical Waste,240,"$5,732.83","$5,981.04","$4,536.62","$6,375.79 ",Veolia
84,Campbell Place Aged Care,VIC,AC,1 x 240L Cytotoxic Waste - Fortnightly,Campbell Place Aged Care - 1 x 240L Cytotoxic Waste - Fortnightly,Medical,Cytotoxic Waste,240,"$4,485.52","$4,201.60","$5,104.52","$3,343.60 ",Veolia
85,Campbell Place Aged Care,VIC,AC,15 x 1.4L Sharps Supply - Fortnightly,Campbell Place Aged Care - 15 x 1.4L Sharps Supply - Fortnightly,Medical,Sharps Supply,1.4,$433.45,$288.17,$271.98,$577.30,Veolia
86,Campbell Place Aged Care,VIC,AC,5 x 8L Sharps Supply - Fortnightly,Campbell Place Aged Care - 5 x 8L Sharps Supply - Fortnightly,Medical,Sharps Supply,8,$67.43,$49.31,$74.62,$68.09,Veolia
87,Campbell Place Aged Care,VIC,AC,1 x 1200L Grease Trap - Every 13 Weeks,Campbell Place Aged Care - 1 x 1200L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,1200,"$1,007.70","$1,007.70","$1,007.70","$1,177.57 ",Veolia
88,Campbell Place Aged Care,VIC,AC,1 x 3100L Grease Trap - Every 52 Weeks,Campbell Place Aged Care - 1 x 3100L Grease Trap - Every 52 Weeks,Liquid,Grease Trap,3100,$677.04,$677.04,$677.04,$855.65,Veolia
89,Campbell Place Aged Care,VIC,AC,1 x 4000L Grease Trap - Every 13 Weeks,Campbell Place Aged Care - 1 x 4000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,4000,"$3,358.99","$3,358.99","$3,358.99","$3,714.49 ",Veolia
90,Campbell Place Aged Care,VIC,AC,1 x 22L Sanitary Waste - Every 4 Weeks,Campbell Place Aged Care - 1 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$97.50,$135.59,$72.93,$411.84,Veolia
91,Grace Park Lane,VIC,RV,5 x 660L General Waste - 2 x Weekly,Grace Park Lane - 5 x 660L General Waste - 2 x Weekly,Rear Lift,General Waste,660,"$7,056.50","$7,661.35","$8,023.51","$13,754.58 ",Veolia
92,Grace Park Lane,VIC,RV,3 x 660L Comingle - 1 x Weekly,Grace Park Lane - 3 x 660L Comingle - 1 x Weekly,Rear Lift,Comingle,660,"$2,871.18","$3,828.24","$3,081.73","$2,664.88 ",Veolia
93,Grace Park Lane,VIC,RV,2 x 1100L Paper & Cardboard - 1 x Weekly,Grace Park Lane - 2 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,040.00","$1,156.48",$812.03,$937.66,Veolia
94,Grace Park Lane,VIC,RV,2 x 240L Confidential Waste - On-Call,Grace Park Lane - 2 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$121.06,$86.15,$43.60,$83.99,Veolia
95,Grace Park Lane,VIC,RV,6 x 22L Sanitary Waste - Every 4 Weeks,Grace Park Lane - 6 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$585.00,$813.54,$437.58,$376.35,Veolia
96,The Alba,VIC,AC,10 x 660L General Waste - 2 x Weekly,The Alba - 10 x 660L General Waste - 2 x Weekly,Rear Lift,General Waste,660,"$16,039.30","$16,972.80","$15,436.76","$31,263.90 ",Veolia
97,The Alba,VIC,AC,6 x 660L Comingle - 1 x Weekly,The Alba - 6 x 660L Comingle - 1 x Weekly,Rear Lift,Comingle,660,"$3,313.44","$4,172.48","$3,367.44","$3,075.36 ",Veolia
98,The Alba,VIC,AC,3 x 1100L Paper & Cardboard - 1 x Weekly,The Alba - 3 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,825.85","$2,030.35","$1,425.62","$1,646.19 ",Veolia
99,The Alba,VIC,AC,3 x 240L Confidential Waste - On-Call,The Alba - 3 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$603.77,$429.69,$217.44,$422.84,Veolia
100,The Alba,VIC,AC,15 x 120L Clinical Waste - Fortnightly,The Alba - 15 x 120L Clinical Waste - Fortnightly,Medical,Clinical Waste,120,"$4,471.01","$6,099.60","$3,610.96","$6,169.75 ",Veolia
101,The Alba,VIC,AC,3 x 120L Cytotoxic Waste - On-Call,The Alba - 3 x 120L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,120,$0.00,$0.00,$180.00,$0.00,Veolia
102,The Alba,VIC,AC,20 x 22L Sanitary Waste - Every 4 Weeks,The Alba - 20 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,"$1,950.00","$2,711.80","$1,458.60",$351.78,Veolia
103,The Alba,VIC,AC,5 x 22L Sanitary Waste - Every 4 Weeks,The Alba - 5 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$487.50,$677.95,$364.65,$376.35,Veolia
104,The Alba,VIC,AC,2 x 22L Sanitary Waste - Every 4 Weeks,The Alba - 2 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$195.00,$271.18,$145.86,$351.78,Veolia
105,Walmsley Retirement Village,VIC,RV,1 x 3m3 General Waste - On-Call,Walmsley Retirement Village - 1 x 3m3 General Waste - On-Call,Front Lift,General Waste,3,"$4,690.40","$4,138.42","$5,583.86","$5,148.57 ",Veolia
106,Walmsley Aged Care,VIC,AC,12 x 660L General Waste - 3 x Weekly,Walmsley Aged Care - 12 x 660L General Waste - 3 x Weekly,Rear Lift,General Waste,660,"$21,729.71","$22,994.40","$22,109.12","$26,455.06 ",Veolia
107,Walmsley Aged Care,VIC,AC,2 x 660L Paper & Cardboard - 3 x Weekly,Walmsley Aged Care - 2 x 660L Paper & Cardboard - 3 x Weekly,Rear Lift,Paper & Cardboard,660,"$1,918.80","$2,475.25","$1,872.75","$2,256.51 ",Veolia
108,Walmsley Aged Care,VIC,AC,1 x 240L Confidential Waste - Fortnightly,Walmsley Aged Care - 1 x 240L Confidential Waste - Fortnightly,Confidential,Confidential Waste,240,$756.60,$538.46,$272.48,$529.88,Veolia
109,Walmsley Aged Care,VIC,AC,4 x 240L Clinical Waste - On-Call,Walmsley Aged Care - 4 x 240L Clinical Waste - On-Call,Medical,Clinical Waste,240,"$1,499.48","$1,564.40","$1,548.49","$1,693.46 ",Veolia
110,Walmsley Aged Care,VIC,AC,20 x 20L Sharps Supply - On-Call,Walmsley Aged Care - 20 x 20L Sharps Supply - On-Call,Medical,Sharps Supply,20,"$3,388.94","$2,164.03","$1,931.90","$1,264.22 ",Veolia
111,Walmsley Aged Care,VIC,AC,1 x 5000L Grease Trap - Every 13 Weeks,Walmsley Aged Care - 1 x 5000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,5000,"$4,368.00","$4,368.00","$4,368.00","$5,104.32 ",Veolia
